"sample_date","wwtp","measuring_period","measurement_type","mean","min","max","n_measurements"
2022-02-24,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0,0,0,1
2022-02-26,"ARA Basel","2021/22","IAV_gc_per_day",7.2118e+11,7.2118e+11,7.2118e+11,1
2022-02-26,"ARA Basel","2021/22","IAV_gc_per_mL_WW",10.7,10.7,10.7,1
2022-02-26,"ARA Basel","2021/22","IBV_gc_per_day",0,0,0,1
2022-02-26,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0,0,0,1
2022-02-28,"ARA Basel","2021/22","IAV_gc_per_day",1.15938e+12,1.15938e+12,1.15938e+12,1
2022-02-28,"ARA Basel","2021/22","IAV_gc_per_mL_WW",22.6,22.6,22.6,1
2022-02-28,"ARA Basel","2021/22","IBV_gc_per_day",0,0,0,1
2022-02-28,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0,0,0,1
2022-03-02,"ARA Basel","2021/22","IAV_gc_per_day",1.90959e+12,1.25928e+12,2.5599e+12,2
2022-03-02,"ARA Basel","2021/22","IAV_gc_per_mL_WW",30.025,19.8,40.25,2
2022-03-02,"ARA Basel","2021/22","IBV_gc_per_day",0,0,0,2
2022-03-02,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0,0,0,2
2022-03-06,"ARA Basel","2021/22","IAV_gc_per_day",1.62619e+12,8.768e+11,2.37558e+12,2
2022-03-06,"ARA Basel","2021/22","IAV_gc_per_mL_WW",29.675,16,43.35,2
2022-03-06,"ARA Basel","2021/22","IBV_gc_per_day",0,0,0,2
2022-03-06,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0,0,0,2
2022-03-08,"ARA Basel","2021/22","IAV_gc_per_day",3.382995e+12,1.82709e+12,4.9389e+12,2
2022-03-08,"ARA Basel","2021/22","IAV_gc_per_mL_WW",55.825,30.15,81.5,2
2022-03-08,"ARA Basel","2021/22","IBV_gc_per_day",0,0,0,2
2022-03-08,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0,0,0,2
2022-03-10,"ARA Basel","2021/22","IAV_gc_per_day",4.34375e+12,4.34375e+12,4.34375e+12,1
2022-03-10,"ARA Basel","2021/22","IAV_gc_per_mL_WW",69.5,69.5,69.5,1
2022-03-10,"ARA Basel","2021/22","IBV_gc_per_day",0,0,0,1
2022-03-10,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0,0,0,1
2022-03-13,"ARA Basel","2021/22","IAV_gc_per_day",6.6585e+12,6.6585e+12,6.6585e+12,1
2022-03-13,"ARA Basel","2021/22","IAV_gc_per_mL_WW",115,115,115,1
2022-03-13,"ARA Basel","2021/22","IBV_gc_per_day",0,0,0,1
2022-03-13,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0,0,0,1
2022-03-15,"ARA Basel","2021/22","IAV_gc_per_day",1.8419e+12,1.8419e+12,1.8419e+12,1
2022-03-15,"ARA Basel","2021/22","IAV_gc_per_mL_WW",22.6,22.6,22.6,1
2022-03-15,"ARA Basel","2021/22","IBV_gc_per_day",0,0,0,1
2022-03-15,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0,0,0,1
2022-03-19,"ARA Basel","2021/22","IAV_gc_per_day",2.90917e+12,2.90917e+12,2.90917e+12,1
2022-03-19,"ARA Basel","2021/22","IAV_gc_per_mL_WW",49.9,49.9,49.9,1
2022-03-19,"ARA Basel","2021/22","IBV_gc_per_day",0,0,0,1
