"","date","observed_incidence","CI_down_observed_incidence","CI_up_observed_incidence","smoothed_incidence","CI_down_smoothed_incidence","CI_up_smoothed_incidence","deconvolved_incidence","CI_down_deconvolved_incidence","CI_up_deconvolved_incidence","Re_estimate","CI_down_Re_estimate","CI_up_Re_estimate","Re_highHPD","Re_lowHPD","bootstrapped_CI_down_Re_estimate","bootstrapped_CI_up_Re_estimate","observation_type","influenza_type","measuring_period"
"491",2021-12-22,0.0354965545190998,0,0.4199541386329,0.067670296037088,0,0.354262977294349,0.393357234479675,0,0.825105239887032,NA,NA,NA,NA,NA,NA,NA,"ARA Werdhölzli","IBV","2021/22"
"492",2021-12-23,0.0348763190234704,0,0.771840410240558,0.112502182627659,0,0.411871969654258,0.373205957044938,0,0.801624826673335,NA,NA,NA,NA,NA,NA,NA,"ARA Werdhölzli","IBV","2021/22"
"493",2021-12-24,0,0,1.1380799529413,0.154352568303234,0,0.478483512368088,0.336640356755873,0,0.750456865252584,NA,NA,NA,NA,NA,NA,NA,"ARA Werdhölzli","IBV","2021/22"
"494",2021-12-25,0,0,0.837905878614921,0.199759930991086,0,0.544953253249064,0.270139812432804,0,0.653685075743929,NA,NA,NA,NA,NA,NA,NA,"ARA Werdhölzli","IBV","2021/22"
"495",2021-12-26,0,0,0.810054881930929,0.250127762223759,0,0.613807572343643,0.191296386897374,0,0.544459098043036,NA,NA,NA,NA,NA,NA,NA,"ARA Werdhölzli","IBV","2021/22"
"496",2021-12-27,0,0,0.753747698584011,0.306859553533793,0,0.689041057413965,0.127298166609063,0,0.45727370040817,NA,NA,NA,NA,NA,NA,NA,"ARA Werdhölzli","IBV","2021/22"
"497",2021-12-28,0.27813005216829,0,1.05994253377993,0.342617908261387,0,0.738452760847557,0.0804116159896361,0,0.388459255471594,NA,NA,NA,NA,NA,NA,NA,"ARA Werdhölzli","IBV","2021/22"
"498",2021-12-29,0.64499844396746,0,1.46811036969071,0.348515186951311,0,0.745100656762448,0.0404875769550075,0,0.335690284728146,NA,NA,NA,NA,NA,NA,NA,"ARA Werdhölzli","IBV","2021/22"
"499",2021-12-30,0.972801809682486,0,1.97798256521829,0.353629516942966,0,0.746567842550592,0.0162549154166976,0,0.299277272974626,NA,NA,NA,NA,NA,NA,NA,"ARA Werdhölzli","IBV","2021/22"
"500",2021-12-31,1.13373678359834,0.0627331299074272,2.20474043728926,0.361018478767783,0,0.752303987520863,0.00877716637025785,0,0.276765407867535,NA,NA,NA,NA,NA,NA,NA,"ARA Werdhölzli","IBV","2021/22"
"501",2022-01-01,1,0,2.07100365369091,0.349344127807541,0,0.735366552890359,0.00385492650307046,0,0.25932266697743,NA,NA,NA,NA,NA,NA,NA,"ARA Werdhölzli","IBV","2021/22"
"502",2022-01-02,0.526625880997359,0,1.36925920679453,0.332073110163926,0,0.715524550675141,0.00210899597104844,0,0.248209843947464,NA,NA,NA,NA,NA,NA,NA,"ARA Werdhölzli","IBV","2021/22"
"503",2022-01-03,0,0,0.704372740861205,0.318232688350413,0,0.698895265392361,0.00354388546608567,0,0.251956336203083,NA,NA,NA,NA,NA,NA,NA,"ARA Werdhölzli","IBV","2021/22"
"504",2022-01-04,0,0,0.593773860096727,0.293648626599604,0,0.662946347081631,0.00570951535460334,0,0.264085294249523,NA,NA,NA,NA,NA,NA,NA,"ARA Werdhölzli","IBV","2021/22"
"505",2022-01-05,0,0,0.743785089972617,0.244146689144104,0,0.589183120587694,0.0107142003799754,0,0.284560330756518,NA,NA,NA,NA,NA,NA,NA,"ARA Werdhölzli","IBV","2021/22"
"506",2022-01-06,0,0,0.736964091217088,0.18140654965855,0,0.501120339577368,0.0207395298572317,0,0.316088488277506,NA,NA,NA,NA,NA,NA,NA,"ARA Werdhölzli","IBV","2021/22"
