"","date","observed_incidence","CI_down_observed_incidence","CI_up_observed_incidence","smoothed_incidence","CI_down_smoothed_incidence","CI_up_smoothed_incidence","deconvolved_incidence","CI_down_deconvolved_incidence","CI_up_deconvolved_incidence","Re_estimate","CI_down_Re_estimate","CI_up_Re_estimate","Re_highHPD","Re_lowHPD","bootstrapped_CI_down_Re_estimate","bootstrapped_CI_up_Re_estimate","observation_type","influenza_type","measuring_period","max_incidence","scaling_type"
"459",2021-12-21,9680.06797967861,0,20290.986219588,12059.6240996677,7243.85205028012,16875.3961490553,9874.79970469292,5939.57021423063,13810.0291951552,0.784749602513769,0.659890698065637,0.909608506961902,0.793383673101327,0.776162123640074,0.659890698065637,0.909608506961902,"ARA Werdhölzli","IAV","2021/22",57854,"Minimum measurement is 1000 cases"
"460",2021-12-22,9375.09942823017,392.565717607595,18357.6331388528,11069.2175818797,6674.748471833,15463.6866919264,9206.64069454652,5458.57059617548,12954.7107929176,0.799322006767008,0.669676151007348,0.928967862526668,0.808445507215169,0.79024957121842,0.669676151007348,0.928967862526668,"ARA Werdhölzli","IAV","2021/22",57854,"Minimum measurement is 1000 cases"
"461",2021-12-23,9419.74005504246,868.030132414289,17971.4499776706,10290.866794693,6269.77933963642,14311.9542497495,8676.68055909843,5169.43428307038,12183.9268351265,0.814761115159753,0.684907938622931,0.944614291696575,0.824373685414813,0.805204146670823,0.684907938622931,0.944614291696575,"ARA Werdhölzli","IAV","2021/22",57854,"Minimum measurement is 1000 cases"
"462",2021-12-24,9551.3600765568,2077.23193571179,17025.4882174018,9567.78462623899,5774.2538967693,13361.3153557087,8368.81473016395,5102.84758734935,11634.7818729786,0.833442870096327,0.709519374839486,0.957366365353167,0.843554780306502,0.823391099335422,0.709519374839486,0.957366365353167,"ARA Werdhölzli","IAV","2021/22",57854,"Minimum measurement is 1000 cases"
"463",2021-12-25,9529.37202401426,2878.48711793555,16180.256930093,8976.01380413338,5417.89027102058,12534.1373372462,8159.60247414857,5120.3869054039,11198.8180428932,0.858947709227858,0.741356278125678,0.976539140330038,0.869583963239228,0.848376009716066,0.741356278125678,0.976539140330038,"ARA Werdhölzli","IAV","2021/22",57854,"Minimum measurement is 1000 cases"
"464",2021-12-26,9201.35768785474,2642.70744698751,15760.007928722,8584.87916561415,5260.98048269014,11908.7778485382,7960.67865019593,5083.14124871108,10838.2160516808,0.887020870969279,0.769049341373825,1.00499240056473,0.898164655438945,0.875945699942268,0.769049341373825,1.00499240056473,"ARA Werdhölzli","IAV","2021/22",57854,"Minimum measurement is 1000 cases"
"465",2021-12-27,8436.9411733179,1334.28351492709,15539.5988317087,8308.35606604636,5208.44376405769,11408.268368035,7815.76552827228,5024.32190093468,10607.2091556099,0.910830381718955,0.787454810477171,1.03420595296074,0.922405137894606,0.899327708594742,0.787454810477171,1.03420595296074,"ARA Werdhölzli","IAV","2021/22",57854,"Minimum measurement is 1000 cases"
"466",2021-12-28,7207.04991003445,0,14541.6278707595,8072.4578468067,5160.55628196342,10984.35941165,7716.65427869684,5024.89515160696,10408.4134057867,0.929203284468261,0.798537985478366,1.05986858345816,0.941122667958026,0.917358824550844,0.798537985478366,1.05986858345816,"ARA Werdhölzli","IAV","2021/22",57854,"Minimum measurement is 1000 cases"
"467",2021-12-29,5887.82462519952,0,12749.5024048684,7898.04028293421,5104.383472634,10691.6970932344,7628.23197005576,5057.48550781175,10198.9784322998,0.944292229796937,0.811415777072007,1.07716868252187,0.956492065056458,0.932169627669652,0.811415777072007,1.07716868252187,"ARA Werdhölzli","IAV","2021/22",57854,"Minimum measurement is 1000 cases"
"468",2021-12-30,4956.70937039929,0,11431.4382341251,7770.38552972861,5079.05637826752,10461.7146811897,7391.67650943156,4892.07236927957,9891.28064958354,0.949385664938397,0.817298301600539,1.08147302827625,0.961765530454756,0.937084897481666,0.817298301600539,1.08147302827625,"ARA Werdhölzli","IAV","2021/22",57854,"Minimum measurement is 1000 cases"
