"","date","observed_incidence","CI_down_observed_incidence","CI_up_observed_incidence","smoothed_incidence","CI_down_smoothed_incidence","CI_up_smoothed_incidence","deconvolved_incidence","CI_down_deconvolved_incidence","CI_up_deconvolved_incidence","Re_estimate","CI_down_Re_estimate","CI_up_Re_estimate","Re_highHPD","Re_lowHPD","bootstrapped_CI_down_Re_estimate","bootstrapped_CI_up_Re_estimate","observation_type","influenza_type","measuring_period"
"120",2021-12-11,0,0,152.040368548891,426.847299962275,297.980129916002,555.714470008548,453.928347664753,319.600170433825,588.25652489568,1.18606179365448,0.700051323194616,1.67207226411434,1.25033616518768,1.12346072752638,0.700051323194616,1.67207226411434,"ARA Basel","IAV","2021/22"
"121",2021-12-12,0,0,123.268168915451,433.522575069732,303.957779390962,563.087370748502,446.338859982299,313.7389204438,578.938799520798,1.09393844210794,0.633914412793974,1.55396247142191,1.15322397702723,1.03619642201853,0.633914412793974,1.55396247142191,"ARA Basel","IAV","2021/22"
"122",2021-12-13,1790.9146954612,1256.54520522831,2325.28418569409,447.618996246926,315.152029588535,580.085962905316,411.075879392311,287.976837273424,534.174921511198,1.02176450809976,0.548556828950021,1.4949721872495,1.07779988670895,0.967204997516264,0.548556828950021,1.4949721872495,"ARA Basel","IAV","2021/22"
"123",2021-12-14,2307.80487804878,1591.33508503041,3024.27467106715,444.89856947398,313.23438794915,576.562750998809,351.354945897931,244.205137340575,458.504754455288,0.926043901082886,0.449370709559105,1.40271709260667,0.978969293457434,0.874569610613424,0.449370709559105,1.40271709260667,"ARA Basel","IAV","2021/22"
"124",2021-12-15,0,0,109.529405880656,420.957139180309,295.640396411731,546.273881948886,300.202465809853,205.763475754888,394.641455864817,0.826901896523251,0.361479920100147,1.29232387294635,0.877351443091816,0.7779262734281,0.361479920100147,1.29232387294635,"ARA Basel","IAV","2021/22"
"125",2021-12-16,0,0,151.226084257385,371.390549795327,259.323975022513,483.45712456814,259.845591149832,175.351032480628,344.340149819036,0.749782878670118,0.268164129633203,1.23140162770703,0.799233736534556,0.701890215915864,0.268164129633203,1.23140162770703,"ARA Basel","IAV","2021/22"
"126",2021-12-17,0,0,149.513994767596,322.234750831167,222.717686121051,421.751815541284,193.088176421228,126.27410832722,259.902244515235,0.679651746409081,0.154917202469514,1.20438629034865,0.729039190507192,0.631973524244609,0.154917202469514,1.20438629034865,"ARA Basel","IAV","2021/22"
"127",2021-12-18,0,0,81.3275299174977,283.297547300691,193.410950500396,373.184144100986,113.0719630953,64.6284645369843,161.515461653616,0.578933138048769,0.0302149588156918,1.12765131728185,0.627586913993641,0.532216550214736,0.0302149588156918,1.12765131728185,"ARA Basel","IAV","2021/22"
"128",2021-12-19,153.193686318077,108.869017638724,197.51835499743,225.832566884399,151.220373990812,300.444759777986,62.4382758384886,23.6979500855,101.178601591477,0.445767581517785,0,1.02667003923117,0.492406558824546,0.401418803116221,0,1.02667003923117,"ARA Basel","IAV","2021/22"
"129",2021-12-20,1.08885017421603,0,101.934676941195,149.876377013606,93.925454244838,205.827299782373,34.2426211425368,0.147547749728993,68.3376945353447,0.319597687375525,0,0.936596060547087,0.364269050349309,0.27781111246677,0,0.936596060547087,"ARA Basel","IAV","2021/22"
"130",2021-12-21,0,0,171.978292629991,92.9120138570025,49.396761093607,136.427266620398,15.644288195418,0,48.3174922577228,0.233175305662179,0,0.839316204345704,0.278219577208505,0.1920594912755,0,0.839316204345704,"ARA Basel","IAV","2021/22"
"131",2021-12-22,0,0,44.1974996779711,56.2891601455937,20.0781423029042,92.5001779882832,9.00112747304023,0,40.7152041786412,0.179287668092648,0,0.785212456168577,0.227873873896792,0.136457784641148,0,0.785212456168577,"ARA Basel","IAV","2021/22"
"132",2021-12-23,26.4781082431781,0,92.586005678484,27.8238157129701,0,60.7874502888664,9.12943186750124,0,39.455462009509,0.159586851847374,0,0.79523764198912,0.217697298293438,0.110397240932278,0,0.79523764198912,"ARA Basel","IAV","2021/22"
