"date","observed_incidence","CI_down_observed_incidence","CI_up_observed_incidence","smoothed_incidence","CI_down_smoothed_incidence","CI_up_smoothed_incidence","deconvolved_incidence","CI_down_deconvolved_incidence","CI_up_deconvolved_incidence","Re_estimate","CI_down_Re_estimate","CI_up_Re_estimate","Re_highHPD","Re_lowHPD","bootstrapped_CI_down_Re_estimate","bootstrapped_CI_up_Re_estimate","observation_type","influenza_type","measuring_period"
2021-12-27,0.252855845536714,0.252855845536714,0.252855845536714,0.303794671979567,0.271046560249831,0.336542783709302,0.358523658595536,0.249077002730166,0.467970314460905,NA,NA,NA,NA,NA,NA,NA,"All Switzerland","ILI corrected for percent positivity","2021/22"
2021-12-28,0.258004663297857,0.258004663297857,0.258004663297857,0.314969244788485,0.266236770652228,0.363701718924741,0.384088990705127,0.242189074596796,0.525988906813457,NA,NA,NA,NA,NA,NA,NA,"All Switzerland","ILI corrected for percent positivity","2021/22"
2021-12-29,0.273966364435332,0.273966364435332,0.273966364435332,0.330011833916802,0.260817787281877,0.399205880551728,0.411490030871241,0.2508280401106,0.572152021631881,NA,NA,NA,NA,NA,NA,NA,"All Switzerland","ILI corrected for percent positivity","2021/22"
2021-12-30,0.299406766704738,0.299406766704738,0.299406766704738,0.349105236478419,0.254755525014858,0.44345494794198,0.439680458016436,0.2785685017746,0.600792414258273,NA,NA,NA,NA,NA,NA,NA,"All Switzerland","ILI corrected for percent positivity","2021/22"
2021-12-31,0.332116661214035,0.332116661214035,0.332116661214035,0.372432249587235,0.249348449065356,0.495516050109114,0.471433176147429,0.309026608374298,0.63383974392056,NA,NA,NA,NA,NA,NA,NA,"All Switzerland","ILI corrected for percent positivity","2021/22"
2022-01-01,0.36988683907118,0.36988683907118,0.36988683907118,0.397619988300476,0.256514078629334,0.538725897971618,0.505148842268045,0.337387207931487,0.672910476604603,NA,NA,NA,NA,NA,NA,NA,"All Switzerland","ILI corrected for percent positivity","2021/22"
2022-01-02,0.410508091384131,0.410508091384131,0.410508091384131,0.423907639552502,0.278431177222158,0.569384101882847,0.537955565529151,0.372616363849131,0.703294767209171,NA,NA,NA,NA,NA,NA,NA,"All Switzerland","ILI corrected for percent positivity","2021/22"
2022-01-03,0.451771209260847,0,1.07529367658653,0.453896108272918,0.302070548998358,0.605721667547477,0.571030151064744,0.417854289784884,0.724206012344603,NA,NA,NA,NA,NA,NA,NA,"All Switzerland","ILI corrected for percent positivity","2021/22"
2022-01-04,0.491466983809286,0,1.34325963657883,0.485932872989146,0.325609947748679,0.646255798229613,0.604578295332411,0.461229519444231,0.747927071220591,NA,NA,NA,NA,NA,NA,NA,"All Switzerland","ILI corrected for percent positivity","2021/22"
2022-01-05,0.527864395899728,0,1.38188646268813,0.517461518700081,0.357116013342589,0.677807024057572,0.637490405864868,0.500633432002387,0.77434737972735,NA,NA,NA,NA,NA,NA,NA,"All Switzerland","ILI corrected for percent positivity","2021/22"
