"date","observed_incidence","CI_down_observed_incidence","CI_up_observed_incidence","smoothed_incidence","CI_down_smoothed_incidence","CI_up_smoothed_incidence","deconvolved_incidence","CI_down_deconvolved_incidence","CI_up_deconvolved_incidence","Re_estimate","CI_down_Re_estimate","CI_up_Re_estimate","Re_highHPD","Re_lowHPD","bootstrapped_CI_down_Re_estimate","bootstrapped_CI_up_Re_estimate","observation_type","influenza_type","measuring_period"
2021-12-02,0,0,0.646614912160503,0.420876123091136,0.120538958246081,0.72121328793619,0.722843848285398,0.47131300164443,0.974374694926365,1.41167226160178,0.150267924163132,4.05282652399305,4.05282652399305,0.150267924163132,1.0658867408799,1.75745778232366,"All provided data","A","2021/22"
2021-12-03,0.14752748542258,0,0.968082153117823,0.478249619694203,0.186321183429093,0.770178055959314,0.853114456427358,0.631541777550361,1.07468713530436,1.47951327580359,0.207778261912632,3.97274952849082,3.97274952849082,0.207778261912632,1.15408063676417,1.80494591484301,"All provided data","A","2021/22"
2021-12-04,0.367522585858969,0,1.26312448425599,0.560551612013007,0.283962653370873,0.83714057065514,0.945783800315972,0.744337137130966,1.14723046350098,1.46832259944276,0.251755150522511,3.73582985877424,3.73582985877424,0.251755150522511,1.17222615651346,1.76441904237206,"All provided data","A","2021/22"
2021-12-05,0.627815561746979,0,1.31262641789302,0.674017061193225,0.422844660470924,0.925189461915526,1.00956338379162,0.826173716661288,1.19295305092195,1.39122701493426,0.270789323525491,3.41051191323924,3.41051191323924,0.270789323525491,1.13955264172115,1.64290138814736,"All provided data","A","2021/22"
2021-12-06,0.89623667352442,0.58402511818761,1.20844822886123,0.788901132251924,0.562860310689108,1.01494195381474,1.05884650211125,0.897230368070761,1.22046263615174,1.29423984898855,0.272124653306809,3.09791787938535,3.09791787938535,0.272124653306809,1.09076562788616,1.49771407009094,"All provided data","A","2021/22"
2021-12-07,1.1406161816291,0.852834207009622,1.42839815624858,0.876717074661162,0.669484843146976,1.08394930617535,1.10831065538399,0.961327751021128,1.25529355974685,1.21750083538144,0.270317200237747,2.86381087898063,2.86381087898063,0.270317200237747,1.03411386317168,1.4008878075912,"All provided data","A","2021/22"
2021-12-08,1.32878434649883,1.01657279116202,1.64099590183564,0.945586976249106,0.756818435183001,1.13435551731521,1.15625593241178,1.00515637037811,1.30735549444545,1.16851497229118,0.271372396139191,2.70817440612682,2.70817440612682,0.271372396139191,1.0059144401462,1.33111550443616,"All provided data","A","2021/22"
2021-12-09,1.42857142857143,1.10490700268378,1.75223585445908,1.00363292484392,0.837480354246408,1.16978549544144,1.19108198398837,1.01950583301878,1.36265813495796,1.13651608643976,0.274039569636269,2.60087937428477,2.60087937428477,0.274039569636269,0.985594411429896,1.28743776144963,"All provided data","A","2021/22"
2021-12-10,1.41919833054594,1.41919833054594,1.41919833054594,1.06076079390837,0.912836948052843,1.2086846397639,1.20259082604159,1.00028363822873,1.40489801385445,1.10620751796737,0.273543368999988,2.50970256834083,2.50970256834083,0.273543368999988,0.974172852575662,1.23824218335908,"All provided data","A","2021/22"
2021-12-11,1.3254485241664,1.3254485241664,1.3254485241664,1.11495603652765,0.969845398688651,1.26006667436664,1.22418814627134,0.996109044480182,1.4522672480625,1.07969816916805,0.271683182763574,2.43476753181537,2.43476753181537,0.271683182763574,0.967078888887112,1.19231744944899,"All provided data","A","2021/22"
2021-12-12,1.1834961234381,0.740065922524246,1.62692632435196,1.15646010996358,0.998383576653675,1.31453664327348,1.29288214697723,1.05219832754317,1.53356596641128,1.07380802567207,0.277053919374044,2.40024539325195,2.40024539325195,0.277053919374044,0.980744790983382,1.16687126036077,"All provided data","A","2021/22"
2021-12-13,1.02951524236632,1.02951524236632,1.02951524236632,1.17551447147798,0.992090903222052,1.35893803973391,1.40358374958313,1.15243050962888,1.65473698953738,1.09996152438117,0.297161790522663,2.41841852295828,2.41841852295828,0.297161790522663,1.02016752306719,1.17975552569515,"All provided data","A","2021/22"
2021-12-14,0.899679994956326,0.448590377715207,1.35076961219745,1.20169011015996,0.99453799410547,1.40884222621446,1.54678851559835,1.27552893442814,1.81804809676855,1.15021239261404,0.33181110677452,2.46803627128413,2.46803627128413,0.33181110677452,1.07197854179131,1.22844624343677,"All provided data","A","2021/22"
2021-12-15,0.830164495213413,0.316589141914331,1.34373984851249,1.26723967639113,1.04648587709702,1.48799347568525,1.70665317926276,1.40987715844033,2.00342920008519,1.20075967139052,0.372331172517802,2.50546340777557,2.50546340777557,0.372331172517802,1.11759487718158,1.28392446559947,"All provided data","A","2021/22"
2021-12-16,0.857142857142857,0.152770116281652,1.56151559800406,1.36642711937207,1.13379029149088,1.59906394725326,1.88057755625472,1.56622579633225,2.1949293161772,1.23646456353747,0.411345707462143,2.50754150731111,2.50754150731111,0.411345707462143,1.15705243986951,1.31587668720544,"All provided data","A","2021/22"
2021-12-17,1.00533350309753,0.169829019944665,1.8408379862504,1.49351638830336,1.24176319159966,1.74526958500707,2.08019396843801,1.75427604328328,2.40611189359273,1.25731330616605,0.44692252282391,2.47941584357629,2.47941584357629,0.44692252282391,1.1873953544749,1.32723125785719,"All provided data","A","2021/22"
2021-12-18,1.25363208882068,0.31190717999873,2.19535699764264,1.63708413594167,1.36182093758716,1.91234733429619,2.31794437632002,1.97752762290735,2.65836112973268,1.27237563375,0.482028678410769,2.43958094224754,2.43958094224754,0.482028678410769,1.20336442798256,1.34138683951744,"All provided data","A","2021/22"
2021-12-19,1.56947857840315,0.896952474830345,2.24200468197595,1.79624410944048,1.50367545582083,2.08881276306012,2.58828011323085,2.22797962231293,2.94858060414877,1.28635346074511,0.518270162767542,2.39750211272791,2.39750211272791,0.518270162767542,1.21084246299689,1.36186445849333,"All provided data","A","2021/22"
2021-12-20,1.92031293593576,1.56475461872076,2.27587125315076,1.98106589959561,1.67603874854166,2.28609305064956,2.8738436936751,2.4948522307467,3.2528351566035,1.29555894250297,0.552847764794255,2.34908220613334,2.34908220613334,0.552847764794255,1.21635030259636,1.37476758240958,"All provided data","A","2021/22"
2021-12-21,2.27357512550936,1.6934814146599,2.85366883635882,2.20161909720288,1.88270452884092,2.52053366556484,3.16920174417892,2.76726875198455,3.5711347363733,1.29541957644913,0.58199051911329,2.28939650553006,2.28939650553006,0.58199051911329,1.21621962974199,1.37461952315627,"All provided data","A","2021/22"
2021-12-22,2.59670511121478,1.60265268651101,3.59075753591854,2.45284545717842,2.11631791914764,2.7893729952092,3.47235818830979,3.03468783471556,3.91002854190402,1.28604007946329,0.604428883048637,2.22061041584213,2.22061041584213,0.604428883048637,1.20618096223298,1.3658991966936,"All provided data","A","2021/22"
2021-12-23,2.85714285714286,1.92136337018863,3.79292234409709,2.72076534107876,2.36751843946684,3.07401224269067,3.82201566185482,3.34624246495016,4.29778885875948,1.27635499522694,0.625071885837383,2.15619697242636,2.15619697242636,0.625071885837383,1.19733614954543,1.35537384090845,"All provided data","A","2021/22"
2021-12-24,3.03551930221178,2.01682761009571,4.05421099432786,3.0020662496603,2.6285747266242,3.3755577726964,4.25014959306306,3.75227675973767,4.74802242638845,1.27518268607486,0.649922936701985,2.10762620116339,2.10762620116339,0.649922936701985,1.20329647155706,1.34706890059267,"All provided data","A","2021/22"
2021-12-25,3.16522928464915,2.56127438009275,3.76918418920555,3.29343568367945,2.88936616266343,3.69750520469547,4.7425476553076,4.22911649245787,5.25597881815734,1.28350416307869,0.680602707927583,2.07445865107093,2.07445865107093,0.680602707927583,1.22211098466891,1.34489734148847,"All provided data","A","2021/22"
2021-12-26,3.2928586175099,2.36616430251762,4.21955293250219,3.62734041677993,3.18929979129884,4.06538104226102,5.27915875616215,4.73840623948458,5.81991127283971,1.29384265821717,0.712758618678022,2.04529663090023,2.04529663090023,0.712758618678022,1.23779102239767,1.34989429403666,"All provided data","A","2021/22"
2021-12-27,3.46499311384899,2.62405165009296,4.30593457760502,4.02979065755331,3.56875400004623,4.49082731506039,5.81321361888042,5.229225420476,6.39720181728485,1.29510189638051,0.738406286006939,2.00562222106732,2.00562222106732,0.738406286006939,1.23972736371047,1.35047642905055,"All provided data","A","2021/22"
2021-12-28,3.72821858672136,2.64560464307939,4.81083253036333,4.48778905917777,4.00828866952723,4.96728944882831,6.32602156908639,5.69655568835094,6.95548744982183,1.28342599918661,0.753723559210093,1.95179995753181,1.95179995753181,0.753723559210093,1.23004695761616,1.33680504075707,"All provided data","A","2021/22"
2021-12-29,4.12912084918195,2.83149344363256,5.42674825473134,4.9883382748315,4.48205613414262,5.49462041552037,6.84278419334265,6.16613758381429,7.51943080287101,1.26327105697329,0.760823758688161,1.89103655240226,1.89103655240226,0.760823758688161,1.21287956394392,1.31366255000267,"All provided data","A","2021/22"
2021-12-30,4.71428571428571,3.42324837198663,6.0053230565848,5.49342651542664,4.94788989500176,6.03896313585151,7.38752610613319,6.65738983090866,8.11766238135772,1.24293839447734,0.765369724619861,1.83441775392604,1.83441775392604,0.765369724619861,1.19291516987058,1.2929616190841,"All provided data","A","2021/22"
2021-12-31,5.50689999192872,4.22421985676622,6.78958012709122,5.98767169802579,5.40057668065962,6.57476671539197,7.8509207963432,7.08044532177185,8.62139627091455,1.22139019685533,0.766536466218771,1.78048966761609,1.78048966761609,0.766536466218771,1.1708864245736,1.27189396913707,"All provided data","A","2021/22"
2022-01-01,6.43655447937155,5.36446599555653,7.50864296318658,6.49202103503282,5.86157537864097,7.12246669142467,8.12215219010599,7.34826812815195,8.89603625206004,1.19042697447788,0.757930190666096,1.7189895673453,1.7189895673453,0.757930190666096,1.14274426844543,1.23810968051034,"All provided data","A","2021/22"
2022-01-02,7.40944097071592,6.31461544650836,8.50426649492347,7.02742173885157,6.34817748054707,7.70666599715607,8.22889655479175,7.47178606585291,8.98600704373058,1.1469197360306,0.736675143123012,1.64651669366565,1.64651669366565,0.736675143123012,1.10472792492715,1.18911154713405,"All provided data","A","2021/22"
2022-01-03,8.33175126006352,7.35254727776561,9.31095524236143,7.49755474400338,6.7786777586329,8.21643172937387,8.21214278616822,7.4645268282765,8.95975874405993,1.09736887226797,0.707406988515516,1.57157139340726,1.57157139340726,0.707406988515516,1.05828344978842,1.13645429474751,"All provided data","A","2021/22"
2022-01-04,9.10967714151607,7.70929006154496,10.5100642214872,7.80826345931697,7.07819735391725,8.53832956471669,8.10332154036771,7.34438200222572,8.86226107850969,1.05137199237131,0.677629017437312,1.50588624116908,1.50588624116908,0.677629017437312,1.01177644691054,1.09096753783208,"All provided data","A","2021/22"
2022-01-05,9.64941040917529,7.81023186871429,11.4885889496363,7.98373880865723,7.25945613073886,8.70802148657559,7.89028898736018,7.12265510315437,8.657922871566,1.01143638041103,0.649678120356845,1.45197972802838,1.45197972802838,0.649678120356845,0.971556681493158,1.05131607932891,"All provided data","A","2021/22"
2022-01-06,9.85714285714286,7.96106865832365,11.7532170559621,8.04817171588907,7.32733378446231,8.76900964731584,7.54643020094776,6.7885794023164,8.30428099957911,0.974580044470661,0.621693504279846,1.40551723475619,1.40551723475619,0.621693504279846,0.936208976977757,1.01295111196357,"All provided data","A","2021/22"
2022-01-07,9.67074162136863,7.82317724257143,11.5183060001658,8.02147223264997,7.28846576598944,8.75447869931051,7.05267001971579,6.32153860645213,7.78380143297944,0.935895653625586,0.590148540414334,1.36007917175518,1.36007917175518,0.590148540414334,0.898434274297913,0.973357032953259,"All provided data","A","2021/22"
2022-01-08,9.15477520519492,7.78916133763881,10.520389072751,7.89053299937701,7.14704880912395,8.63401718963006,6.52649166158595,5.81720217309473,7.23578115007717,0.896859991353645,0.55634121453807,1.31736980522239,1.31736980522239,0.55634121453807,0.856983437792115,0.936736544915175,"All provided data","A","2021/22"
2022-01-09,8.40548745381219,7.12887140833402,9.68210349929035,7.63001882313446,6.891701840517,8.36833580575192,6.08299682673634,5.38992724991581,6.77606640355686,0.864994436498642,0.526158255795738,1.28668828915277,1.28668828915277,0.526158255795738,0.820952761497979,0.909036111499305,"All provided data","A","2021/22"
2022-01-10,7.51912221241088,6.22883044670701,8.80941397811474,7.21459451098664,6.49948540572246,7.92970361625082,5.69804302236537,5.02301084769055,6.37307519704019,0.846611908550977,0.504587856541808,1.27569583006199,1.27569583006199,0.504587856541808,0.800330464947891,0.892893352154064,"All provided data","A","2021/22"
2022-01-11,6.59192332618144,5.22825569863604,7.95559095372684,6.74883408593869,6.05584306228354,7.44182510959384,5.33884416119524,4.68225748452071,5.99543083786977,0.840435780413444,0.490989691871041,1.2822619543112,1.2822619543112,0.490989691871041,0.794740784192553,0.886130776634336,"All provided data","A","2021/22"
2022-01-12,5.72013464031433,4.05966282411169,7.38060645651697,6.33864455938083,5.66243288781064,7.01485623095102,5.02778386868166,4.38017645093727,5.67539128642605,0.840922882896581,0.481659231529531,1.29864827388937,1.29864827388937,0.481659231529531,0.795999009262231,0.885846756530932,"All provided data","A","2021/22"
2022-01-13,5,3.50635630907999,6.49364369092002,5.96069022095492,5.30179627240982,6.61958416950002,4.81519347833281,4.17596234961408,5.45442460705153,0.847989587256494,0.47692560057207,1.32407281313535,1.32407281313535,0.47692560057207,0.803241282255284,0.892737892257704,"All provided data","A","2021/22"
2022-01-14,4.50567704612863,3.03740577299069,5.97394831926658,5.59163536030285,4.95044164801689,6.23282907258881,4.71116694815527,4.08950616026933,5.3328277360412,0.865694158429647,0.480082575441417,1.36310472204636,1.36310472204636,0.480082575441417,0.822056780925376,0.909331535933917,"All provided data","A","2021/22"
2022-01-15,4.22297860238938,3.1829278657923,5.26302933898646,5.25997633339446,4.62764956260883,5.8923031041801,4.72091671304698,4.1238564833845,5.31797694270945,0.897166360001441,0.493944177981898,1.418727296165,1.418727296165,0.493944177981898,0.854882370737604,0.939450349265278,"All provided data","A","2021/22"
2022-01-16,4.11563128817112,3.17610794582219,5.05515463052005,5.01612244722614,4.39074339549496,5.64150149895732,4.79973037002522,4.2170347081228,5.38242603192763,0.938229159773224,0.516359666582387,1.48398707693773,1.48398707693773,0.516359666582387,0.894161640992255,0.982296678554193,"All provided data","A","2021/22"
2022-01-17,4.14736172286274,3.12195879736695,5.17276464835853,4.86960741797954,4.25903778305846,5.48017705290061,4.90196815205038,4.3214911374857,5.48244516661505,0.979896698045675,0.541747047797884,1.54573871025337,1.54573871025337,0.541747047797884,0.931525295047253,1.0282681010441,"All provided data","A","2021/22"
2022-01-18,4.28189652585312,3.1077787579335,5.45601429377275,4.82996496183631,4.24273167293858,5.41719825073404,5.03454910639027,4.44971692645553,5.619381286325,1.01457920074587,0.565006724841418,1.59357173683844,1.59357173683844,0.565006724841418,0.963245486292181,1.06591291519955,"All provided data","A","2021/22"
2022-01-19,4.48296231653115,3.29221006737775,5.67371456568456,4.85842376276706,4.28778087890361,5.42906664663051,5.20933205220976,4.61251147359957,5.80615263081994,1.04136244624665,0.585225428732638,1.62677093262168,1.62677093262168,0.585225428732638,0.989136726446909,1.09358816604638,"All provided data","A","2021/22"
2022-01-20,4.71428571428571,3.44100271800472,5.98756871056671,4.9160879360921,4.35139181547964,5.48078405670457,5.40046678498807,4.78575921142285,6.01517435855329,1.06217465496577,0.603251756373014,1.64878202282167,1.64878202282167,0.603251756373014,1.00921167010697,1.11513763982458,"All provided data","A","2021/22"
2022-01-21,4.94503415913141,3.8353671982357,6.05470112002713,5.01230434501766,4.44718022884206,5.57742846119326,5.57337867726341,4.94856109415899,6.19819626036783,1.07581320359959,0.617632426586283,1.65904263086104,1.65904263086104,0.617632426586283,1.02328669942541,1.12833970777376,"All provided data","A","2021/22"
2022-01-22,5.16613837358576,4.20676615307692,6.1255105940946,5.15641985274994,4.58388160540883,5.72895810009105,5.72902764511533,5.09950534908881,6.35854994114184,1.0807244392394,0.626608657175139,1.65657809033902,1.65657809033902,0.626608657175139,1.03115931990259,1.13028955857622,"All provided data","A","2021/22"
2022-01-23,5.37396990079196,4.39622143484164,6.35171836674229,5.32248912764248,4.73622390912798,5.90875434615699,5.87242221538576,5.23074505006541,6.51409938070611,1.07851456133799,0.63069173551772,1.6445101974477,1.6445101974477,0.63069173551772,1.03161277186294,1.12541635081303,"All provided data","A","2021/22"
2022-01-24,5.56490028389327,4.49361633706482,6.63618423072172,5.47930215094388,4.88373280746047,6.0748714944273,6.01245189028689,5.34697911154488,6.6779246690289,1.07351062342467,0.632561052418997,1.62917172627272,1.62917172627272,0.632561052418997,1.02644699537285,1.12057425147649,"All provided data","A","2021/22"
