"sample_date","wwtp","measuring_period","measurement_type","mean","min","max","n_measurements"
2022-04-28,"ARA Basel","2021/22","IBV_gc_per_day",0,0,0,1
2022-04-28,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0,0,0,1
2022-06-01,"ARA Basel","2021/22","IAV_gc_per_day",0,0,0,1
2022-06-01,"ARA Basel","2021/22","IAV_gc_per_mL_WW",0,0,0,1
2022-06-01,"ARA Basel","2021/22","IBV_gc_per_day",0,0,0,1
2022-06-01,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0,0,0,1
2022-06-05,"ARA Basel","2021/22","IAV_gc_per_day",0,0,0,1
2022-06-05,"ARA Basel","2021/22","IAV_gc_per_mL_WW",0,0,0,1
2022-06-05,"ARA Basel","2021/22","IBV_gc_per_day",0,0,0,1
2022-06-05,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0,0,0,1
2022-08-02,"ARA Basel","2022/23","IAV_gc_per_day",0,0,0,1
2022-08-02,"ARA Basel","2022/23","IAV_gc_per_mL_WW",0,0,0,1
2022-08-02,"ARA Basel","2022/23","IBV_gc_per_day",0,0,0,1
2022-08-02,"ARA Basel","2022/23","IBV_gc_per_mL_WW",0,0,0,1
2022-08-07,"ARA Basel","2022/23","IAV_gc_per_day",0,0,0,1
2022-08-07,"ARA Basel","2022/23","IAV_gc_per_mL_WW",0,0,0,1
2022-08-07,"ARA Basel","2022/23","IBV_gc_per_day",0,0,0,1
2022-08-07,"ARA Basel","2022/23","IBV_gc_per_mL_WW",0,0,0,1
2022-08-12,"ARA Basel","2022/23","IAV_gc_per_day",0,0,0,1
2022-08-12,"ARA Basel","2022/23","IAV_gc_per_mL_WW",0,0,0,1
2022-08-12,"ARA Basel","2022/23","IBV_gc_per_day",0,0,0,1
2022-08-12,"ARA Basel","2022/23","IBV_gc_per_mL_WW",0,0,0,1
2022-08-18,"ARA Basel","2022/23","IAV_gc_per_day",7.47024e+11,7.47024e+11,7.47024e+11,1
2022-08-18,"ARA Basel","2022/23","IAV_gc_per_mL_WW",6,6,6,1
2022-08-18,"ARA Basel","2022/23","IBV_gc_per_day",0,0,0,1
2022-08-18,"ARA Basel","2022/23","IBV_gc_per_mL_WW",0,0,0,1
2022-08-23,"ARA Basel","2022/23","IAV_gc_per_day",0,0,0,1
2022-08-23,"ARA Basel","2022/23","IAV_gc_per_mL_WW",0,0,0,1
2022-08-23,"ARA Basel","2022/23","IBV_gc_per_day",0,0,0,1
2022-08-23,"ARA Basel","2022/23","IBV_gc_per_mL_WW",0,0,0,1
2022-08-28,"ARA Basel","2022/23","IAV_gc_per_day",0,0,0,1
2022-08-28,"ARA Basel","2022/23","IAV_gc_per_mL_WW",0,0,0,1
2022-08-28,"ARA Basel","2022/23","IBV_gc_per_day",0,0,0,1
2022-08-28,"ARA Basel","2022/23","IBV_gc_per_mL_WW",0,0,0,1
2022-09-01,"ARA Basel","2022/23","IAV_gc_per_day",140841680000,140841680000,140841680000,1
2022-09-01,"ARA Basel","2022/23","IAV_gc_per_mL_WW",2.48,2.48,2.48,1
2022-09-01,"ARA Basel","2022/23","IBV_gc_per_day",0,0,0,1
2022-09-01,"ARA Basel","2022/23","IBV_gc_per_mL_WW",0,0,0,1
2022-09-04,"ARA Basel","2022/23","IAV_gc_per_day",116158024000,116158024000,116158024000,1
2022-09-04,"ARA Basel","2022/23","IAV_gc_per_mL_WW",1.784,1.784,1.784,1
2022-09-04,"ARA Basel","2022/23","IBV_gc_per_day",0,0,0,1
2022-09-04,"ARA Basel","2022/23","IBV_gc_per_mL_WW",0,0,0,1
2022-09-06,"ARA Basel","2022/23","IAV_gc_per_day",257490952000,257490952000,257490952000,1
2022-09-06,"ARA Basel","2022/23","IAV_gc_per_mL_WW",3.932,3.932,3.932,1
2022-09-06,"ARA Basel","2022/23","IBV_gc_per_day",0,0,0,1
2022-09-06,"ARA Basel","2022/23","IBV_gc_per_mL_WW",0,0,0,1
2022-09-08,"ARA Basel","2022/23","IAV_gc_per_day",0,0,0,1
2022-09-08,"ARA Basel","2022/23","IAV_gc_per_mL_WW",0,0,0,1
2022-09-08,"ARA Basel","2022/23","IBV_gc_per_day",0,0,0,1
2022-09-08,"ARA Basel","2022/23","IBV_gc_per_mL_WW",0,0,0,1
2022-09-11,"ARA Basel","2022/23","IAV_gc_per_day",0,0,0,1
2022-09-11,"ARA Basel","2022/23","IAV_gc_per_mL_WW",0,0,0,1
2022-09-11,"ARA Basel","2022/23","IBV_gc_per_day",0,0,0,1
2022-09-11,"ARA Basel","2022/23","IBV_gc_per_mL_WW",0,0,0,1
2022-09-13,"ARA Basel","2022/23","IAV_gc_per_day",0,0,0,1
2022-09-13,"ARA Basel","2022/23","IAV_gc_per_mL_WW",0,0,0,1
2022-09-13,"ARA Basel","2022/23","IBV_gc_per_day",0,0,0,1
2022-09-13,"ARA Basel","2022/23","IBV_gc_per_mL_WW",0,0,0,1
2022-09-15,"ARA Basel","2022/23","IAV_gc_per_day",132899866000,132899866000,132899866000,1
2022-09-15,"ARA Basel","2022/23","IAV_gc_per_mL_WW",1.682,1.682,1.682,1
2022-09-15,"ARA Basel","2022/23","IBV_gc_per_day",0,0,0,1
2022-09-15,"ARA Basel","2022/23","IBV_gc_per_mL_WW",0,0,0,1
2022-09-18,"ARA Basel","2022/23","IAV_gc_per_day",126829780000,126829780000,126829780000,1
2022-09-18,"ARA Basel","2022/23","IAV_gc_per_mL_WW",2.42,2.42,2.42,1
2022-09-18,"ARA Basel","2022/23","IBV_gc_per_day",0,0,0,1
2022-09-18,"ARA Basel","2022/23","IBV_gc_per_mL_WW",0,0,0,1
2022-09-20,"ARA Basel","2022/23","IAV_gc_per_day",693400800000,693400800000,693400800000,1
2022-09-20,"ARA Basel","2022/23","IAV_gc_per_mL_WW",11.4666666666667,11.4666666666667,11.4666666666667,1
2022-09-20,"ARA Basel","2022/23","IBV_gc_per_day",0,0,0,1
