"","date","region_nr","measuring_period","pathogen","total_cnslt"
"414",2022-03-07,5,"2021/22","RSV",0
"415",2022-03-07,6,"2021/22","RSV",0
"416",2022-03-14,1,"2021/22","RSV",0
"417",2022-03-14,2,"2021/22","RSV",0
"418",2022-03-14,3,"2021/22","RSV",0
"419",2022-03-14,4,"2021/22","RSV",0
"420",2022-03-14,5,"2021/22","RSV",0
"421",2022-03-14,6,"2021/22","RSV",0
"422",2022-03-21,1,"2021/22","RSV",2.66666666666667
"423",2022-03-21,2,"2021/22","RSV",0
"424",2022-03-21,3,"2021/22","RSV",0
"425",2022-03-21,4,"2021/22","RSV",0
"426",2022-03-21,5,"2021/22","RSV",0
"427",2022-03-21,6,"2021/22","RSV",0
"428",2022-03-28,1,"2021/22","RSV",0
"429",2022-03-28,2,"2021/22","RSV",0
"430",2022-03-28,3,"2021/22","RSV",0
"431",2022-03-28,4,"2021/22","RSV",0
"432",2022-03-28,5,"2021/22","RSV",2.33333333333333
"433",2022-03-28,6,"2021/22","RSV",0
"434",2022-04-04,1,"2021/22","RSV",0
"435",2022-04-04,2,"2021/22","RSV",0
"436",2022-04-04,3,"2021/22","RSV",0
"437",2022-04-04,4,"2021/22","RSV",2.75
"438",2022-04-04,5,"2021/22","RSV",0
"439",2022-04-04,6,"2021/22","RSV",0
"440",2022-04-11,1,"2021/22","RSV",0
"441",2022-04-11,2,"2021/22","RSV",0
"442",2022-04-11,3,"2021/22","RSV",0
"443",2022-04-11,4,"2021/22","RSV",0
"444",2022-04-11,5,"2021/22","RSV",0
"445",2022-04-11,6,"2021/22","RSV",0
"446",2022-04-18,1,"2021/22","RSV",1.72727272727273
"447",2022-04-18,2,"2021/22","RSV",0
"448",2022-04-18,4,"2021/22","RSV",0
"449",2022-04-18,5,"2021/22","RSV",0
"450",2022-04-18,6,"2021/22","RSV",0
"451",2022-04-25,1,"2021/22","RSV",0
"452",2022-04-25,2,"2021/22","RSV",0
"453",2022-04-25,3,"2021/22","RSV",0
"454",2022-04-25,4,"2021/22","RSV",0
"455",2022-04-25,5,"2021/22","RSV",0
"456",2022-04-25,6,"2021/22","RSV",0
"457",2022-05-02,1,"2021/22","RSV",0
"458",2022-05-02,2,"2021/22","RSV",0
"459",2022-05-02,3,"2021/22","RSV",0
"460",2022-05-02,5,"2021/22","RSV",0
"461",2022-05-02,6,"2021/22","RSV",0
"462",2022-05-09,1,"2021/22","RSV",0
"463",2022-05-09,2,"2021/22","RSV",0.647058823529412
"464",2022-05-09,4,"2021/22","RSV",0
"465",2022-05-09,5,"2021/22","RSV",0
"466",2022-05-09,6,"2021/22","RSV",0
"467",2022-05-16,1,"2021/22","RSV",0
"468",2022-05-16,2,"2021/22","RSV",0
"469",2022-05-16,3,"2021/22","RSV",1
"470",2022-05-16,4,"2021/22","RSV",0
"471",2022-05-16,5,"2021/22","RSV",0
"472",2022-05-16,6,"2021/22","RSV",0
"473",2022-05-23,1,"2021/22","RSV",0
"474",2022-05-23,2,"2021/22","RSV",0
"475",2022-05-23,3,"2021/22","RSV",0
"476",2022-05-23,4,"2021/22","RSV",0
"477",2022-05-23,5,"2021/22","RSV",0
"478",2022-05-23,6,"2021/22","RSV",0
"479",2022-05-30,1,"2021/22","RSV",0
"480",2022-05-30,2,"2021/22","RSV",0
"481",2022-05-30,4,"2021/22","RSV",0
"482",2022-05-30,5,"2021/22","RSV",0
"483",2022-05-30,6,"2021/22","RSV",0
"484",2022-06-06,1,"2021/22","RSV",1
"485",2022-06-06,2,"2021/22","RSV",0
"486",2022-06-06,4,"2021/22","RSV",0
"487",2022-06-06,5,"2021/22","RSV",0
"488",2022-06-06,6,"2021/22","RSV",0
"489",2022-06-13,1,"2021/22","RSV",0
"490",2022-06-13,2,"2021/22","RSV",1
"491",2022-06-13,3,"2021/22","RSV",0
"492",2022-06-13,4,"2021/22","RSV",0
"493",2022-06-13,5,"2021/22","RSV",0
"494",2022-06-13,6,"2021/22","RSV",0
"495",2022-06-20,1,"2021/22","RSV",0
"496",2022-06-20,2,"2021/22","RSV",0
"497",2022-06-20,3,"2021/22","RSV",0
"498",2022-06-20,4,"2021/22","RSV",0
"499",2022-06-20,5,"2021/22","RSV",0
"500",2022-06-20,6,"2021/22","RSV",0
"501",2022-06-27,1,"2021/22","RSV",0
"502",2022-06-27,2,"2021/22","RSV",0
"503",2022-06-27,3,"2021/22","RSV",0
