"influenza_type","date","wwtp","total_cases","measuring_period"
"A",2022-11-24,"ZUERICH(WERDHOELZLI)",4.54913195194633,"2022/23"
"A",2022-12-01,"BASEL",34.113883226982,"2022/23"
"A",2022-12-01,"BIOGGIO(LUGANO)",31.8088934744202,"2022/23"
"A",2022-12-01,"CHUR",1,"2022/23"
"A",2022-12-01,"LAUPEN(SENSETAL)",3.208675087134,"2022/23"
"A",2022-12-01,"THAL/ALTENRHEIN",1.174365114102,"2022/23"
"A",2022-12-01,"VERNIER/AIRE",10.660733122726,"2022/23"
"A",2022-12-01,"ZUERICH(WERDHOELZLI)",13.8940473081423,"2022/23"
"A",2022-12-08,"BASEL",49.521336403521,"2022/23"
"A",2022-12-08,"BIOGGIO(LUGANO)",44.9890278347616,"2022/23"
"A",2022-12-08,"CHUR",3.999937229483,"2022/23"
"A",2022-12-08,"LAUPEN(SENSETAL)",7.8448535597844,"2022/23"
"A",2022-12-08,"THAL/ALTENRHEIN",4.41175520272,"2022/23"
"A",2022-12-08,"VERNIER/AIRE",28.8033668018879,"2022/23"
"A",2022-12-08,"ZUERICH(WERDHOELZLI)",48.5283672169489,"2022/23"
"A",2022-12-15,"BASEL",113.650793334052,"2022/23"
"A",2022-12-15,"BIOGGIO(LUGANO)",81.7333907306997,"2022/23"
"A",2022-12-15,"CHUR",8.999992440766,"2022/23"
"A",2022-12-15,"LAUPEN(SENSETAL)",13.4332421262184,"2022/23"
"A",2022-12-15,"THAL/ALTENRHEIN",4.064793116547,"2022/23"
"A",2022-12-15,"VERNIER/AIRE",98.2932830232556,"2022/23"
"A",2022-12-15,"ZUERICH(WERDHOELZLI)",70.8453676554416,"2022/23"
"A",2022-12-22,"BASEL",166.97603337159,"2022/23"
"A",2022-12-22,"BIOGGIO(LUGANO)",69.9406185703773,"2022/23"
"A",2022-12-22,"CHUR",11.9992938118,"2022/23"
"A",2022-12-22,"LAUPEN(SENSETAL)",19.5522239492574,"2022/23"
"A",2022-12-22,"THAL/ALTENRHEIN",18.633298450007,"2022/23"
"A",2022-12-22,"VERNIER/AIRE",169.824605853203,"2022/23"
"A",2022-12-22,"ZUERICH(WERDHOELZLI)",151.080823682992,"2022/23"
"A",2022-12-29,"BASEL",170.304387052336,"2022/23"
"A",2022-12-29,"BIOGGIO(LUGANO)",42.7536459387648,"2022/23"
"A",2022-12-29,"CHUR",14.141762868404,"2022/23"
"A",2022-12-29,"LAUPEN(SENSETAL)",10.7715303348669,"2022/23"
"A",2022-12-29,"THAL/ALTENRHEIN",2.412324031656,"2022/23"
"A",2022-12-29,"VERNIER/AIRE",136.7399548918,"2022/23"
"A",2022-12-29,"ZUERICH(WERDHOELZLI)",89.9741343134486,"2022/23"
"B",2021-08-26,"VERNIER/AIRE",1.523105546646,"2021/22"
"B",2021-11-25,"BIOGGIO(LUGANO)",0.996425899622,"2021/22"
"B",2021-12-23,"VERNIER/AIRE",1,"2021/22"
"B",2022-03-17,"VERNIER/AIRE",1,"2021/22"
"B",2022-04-07,"VERNIER/AIRE",1.5142709939,"2021/22"
"B",2022-04-14,"BIOGGIO(LUGANO)",1.00000000398,"2021/22"
"B",2022-04-28,"LAUPEN(SENSETAL)",0.223817113897,"2021/22"
"B",2022-04-28,"VERNIER/AIRE",1.999999821102,"2021/22"
"B",2022-11-10,"VERNIER/AIRE",0.200751064784,"2022/23"
"B",2022-11-17,"BIOGGIO(LUGANO)",2,"2022/23"
"B",2022-11-24,"VERNIER/AIRE",1.999999981712,"2022/23"
"B",2022-11-24,"ZUERICH(WERDHOELZLI)",1,"2022/23"
"B",2022-12-01,"BASEL",1.00000001486,"2022/23"
"B",2022-12-01,"VERNIER/AIRE",0.66747049356855,"2022/23"
"B",2022-12-01,"ZUERICH(WERDHOELZLI)",3,"2022/23"
"B",2022-12-08,"LAUPEN(SENSETAL)",1,"2022/23"
"B",2022-12-08,"VERNIER/AIRE",1.999997711264,"2022/23"
"B",2022-12-08,"ZUERICH(WERDHOELZLI)",0.976445549566,"2022/23"
"B",2022-12-15,"BASEL",0.999692714317,"2022/23"
"B",2022-12-15,"LAUPEN(SENSETAL)",1.972461754749,"2022/23"
"B",2022-12-15,"VERNIER/AIRE",1.999999939945,"2022/23"
"B",2022-12-15,"ZUERICH(WERDHOELZLI)",3.432486517995,"2022/23"
"B",2022-12-22,"BASEL",0.999956099055,"2022/23"
"B",2022-12-22,"VERNIER/AIRE",6.0100245414605,"2022/23"
"B",2022-12-22,"ZUERICH(WERDHOELZLI)",0.989419072598,"2022/23"
"B",2022-12-29,"BASEL",2.99842143767,"2022/23"
"B",2022-12-29,"VERNIER/AIRE",6.087382003926,"2022/23"
"B",2022-12-29,"ZUERICH(WERDHOELZLI)",2.57301006927733,"2022/23"
"A",2021-10-21,"All provided data",3,"2021/22"
"A",2021-10-28,"All provided data",2,"2021/22"
"A",2021-11-04,"All provided data",1,"2021/22"
"A",2021-11-18,"All provided data",6,"2021/22"
"A",2021-11-25,"All provided data",5,"2021/22"
"A",2021-12-09,"All provided data",10,"2021/22"
"A",2021-12-16,"All provided data",6,"2021/22"
"A",2021-12-23,"All provided data",20,"2021/22"
"A",2021-12-30,"All provided data",33,"2021/22"
"A",2022-01-06,"All provided data",69,"2021/22"
"A",2022-01-13,"All provided data",35,"2021/22"
"A",2022-01-20,"All provided data",33,"2021/22"
"A",2022-01-27,"All provided data",42,"2021/22"
"A",2022-02-03,"All provided data",47,"2021/22"
"A",2022-02-10,"All provided data",63,"2021/22"
"A",2022-02-17,"All provided data",73,"2021/22"
"A",2022-02-24,"All provided data",75,"2021/22"
"A",2022-03-03,"All provided data",138,"2021/22"
"A",2022-03-10,"All provided data",287,"2021/22"
"A",2022-03-17,"All provided data",347,"2021/22"
"A",2022-03-24,"All provided data",289,"2021/22"
"A",2022-03-31,"All provided data",318,"2021/22"
"A",2022-04-07,"All provided data",199,"2021/22"
"A",2022-04-14,"All provided data",192,"2021/22"
"A",2022-04-21,"All provided data",70,"2021/22"
"A",2022-04-28,"All provided data",26,"2021/22"
"A",2022-10-06,"All provided data",3,"2022/23"
"A",2022-10-13,"All provided data",7,"2022/23"
"A",2022-10-20,"All provided data",3,"2022/23"
"A",2022-10-27,"All provided data",10,"2022/23"
"A",2022-11-03,"All provided data",15,"2022/23"
"A",2022-11-10,"All provided data",19,"2022/23"
"A",2022-11-17,"All provided data",20,"2022/23"
"A",2022-11-24,"All provided data",33,"2022/23"
"A",2022-12-01,"All provided data",104,"2022/23"
"A",2022-12-08,"All provided data",217,"2022/23"
"A",2022-12-15,"All provided data",437,"2022/23"
"A",2022-12-22,"All provided data",700,"2022/23"
"A",2022-12-29,"All provided data",520,"2022/23"
"B",2021-08-26,"All provided data",2,"2021/22"
"B",2021-11-25,"All provided data",1,"2021/22"
"B",2021-12-23,"All provided data",1,"2021/22"
"B",2022-03-17,"All provided data",1,"2021/22"
"B",2022-04-07,"All provided data",2,"2021/22"
"B",2022-04-14,"All provided data",1,"2021/22"
"B",2022-04-28,"All provided data",3,"2021/22"
