"sample_date","wwtp","measuring_period","measurement_type","mean"
2022-03-18,"STEP Aire","2021/22","IAV_gc_per_day",4047316615626.23
2022-03-18,"STEP Aire","2021/22","IAV_gc_per_mL_WW",27.4465056463783
2022-03-18,"STEP Aire","2021/22","IBV_gc_per_day",0
2022-03-18,"STEP Aire","2021/22","IBV_gc_per_mL_WW",0
2022-03-21,"ARA Werdhölzli","2021/22","IAV_gc_per_day",6048807766172.59
2022-03-21,"ARA Werdhölzli","2021/22","IAV_gc_per_mL_WW",44.3100392361978
2022-03-21,"ARA Werdhölzli","2021/22","IBV_gc_per_day",0
2022-03-21,"ARA Werdhölzli","2021/22","IBV_gc_per_mL_WW",0
2022-03-21,"STEP Aire","2021/22","IAV_gc_per_day",2381336110797.18
2022-03-21,"STEP Aire","2021/22","IAV_gc_per_mL_WW",16.9258814346031
2022-03-21,"STEP Aire","2021/22","IBV_gc_per_day",0
2022-03-21,"STEP Aire","2021/22","IBV_gc_per_mL_WW",0
2022-03-25,"ARA Werdhölzli","2021/22","IAV_gc_per_day",4212108593749.44
2022-03-25,"ARA Werdhölzli","2021/22","IAV_gc_per_mL_WW",30.4268358477646
2022-03-25,"ARA Werdhölzli","2021/22","IBV_gc_per_day",0
2022-03-25,"ARA Werdhölzli","2021/22","IBV_gc_per_mL_WW",0
2022-03-25,"STEP Aire","2021/22","IAV_gc_per_day",3290903342121.31
2022-03-25,"STEP Aire","2021/22","IAV_gc_per_mL_WW",24.8392559486241
2022-03-25,"STEP Aire","2021/22","IBV_gc_per_day",0
2022-03-25,"STEP Aire","2021/22","IBV_gc_per_mL_WW",0
2022-03-28,"ARA Werdhölzli","2021/22","IAV_gc_per_day",2875908026902.3
2022-03-28,"ARA Werdhölzli","2021/22","IAV_gc_per_mL_WW",20.2778637539383
2022-03-28,"ARA Werdhölzli","2021/22","IBV_gc_per_day",0
2022-03-28,"ARA Werdhölzli","2021/22","IBV_gc_per_mL_WW",0
2022-03-28,"STEP Aire","2021/22","IAV_gc_per_day",2377758316167.26
2022-03-28,"STEP Aire","2021/22","IAV_gc_per_mL_WW",18.4538360108907
2022-03-28,"STEP Aire","2021/22","IBV_gc_per_day",0
2022-03-28,"STEP Aire","2021/22","IBV_gc_per_mL_WW",0
2022-04-02,"ARA Werdhölzli","2021/22","IAV_gc_per_day",3408733176874.58
2022-04-02,"ARA Werdhölzli","2021/22","IAV_gc_per_mL_WW",11.3731726157495
2022-04-02,"ARA Werdhölzli","2021/22","IBV_gc_per_day",0
2022-04-02,"ARA Werdhölzli","2021/22","IBV_gc_per_mL_WW",0
2022-04-02,"STEP Aire","2021/22","IAV_gc_per_day",2928106441729.96
2022-04-02,"STEP Aire","2021/22","IAV_gc_per_mL_WW",20.0057831673986
2022-04-02,"STEP Aire","2021/22","IBV_gc_per_day",0
2022-04-02,"STEP Aire","2021/22","IBV_gc_per_mL_WW",0
2022-04-04,"ARA Werdhölzli","2021/22","IAV_gc_per_day",7237627034001.41
2022-04-04,"ARA Werdhölzli","2021/22","IAV_gc_per_mL_WW",38.8505643445382
2022-04-04,"STEP Aire","2021/22","IAV_gc_per_day",1835792333241.2
2022-04-04,"STEP Aire","2021/22","IAV_gc_per_mL_WW",14.3652466723101
2022-04-05,"ARA Werdhölzli","2021/22","IAV_gc_per_day",7437965211568.54
2022-04-05,"ARA Werdhölzli","2021/22","IAV_gc_per_mL_WW",45.3509576399377
2022-04-05,"ARA Werdhölzli","2021/22","IBV_gc_per_day",0
2022-04-05,"ARA Werdhölzli","2021/22","IBV_gc_per_mL_WW",0
2022-04-05,"STEP Aire","2021/22","IAV_gc_per_day",2489864069941.52
2022-04-05,"STEP Aire","2021/22","IAV_gc_per_mL_WW",19.4604249477629
2022-04-05,"STEP Aire","2021/22","IBV_gc_per_day",0
2022-04-05,"STEP Aire","2021/22","IBV_gc_per_mL_WW",0
2022-04-08,"ARA Werdhölzli","2021/22","IAV_gc_per_day",6608404940893.27
2022-04-08,"ARA Werdhölzli","2021/22","IAV_gc_per_mL_WW",16.8022398415817
2022-04-08,"ARA Werdhölzli","2021/22","IBV_gc_per_day",407025209310.232
2022-04-08,"ARA Werdhölzli","2021/22","IBV_gc_per_mL_WW",1.03488440093625
2022-04-08,"STEP Aire","2021/22","IAV_gc_per_day",4071389239892.45
2022-04-08,"STEP Aire","2021/22","IAV_gc_per_mL_WW",18.5477943395796
2022-04-08,"STEP Aire","2021/22","IBV_gc_per_day",0
2022-04-08,"STEP Aire","2021/22","IBV_gc_per_mL_WW",0
2022-04-11,"ARA Werdhölzli","2021/22","IAV_gc_per_day",5673711605414.44
2022-04-11,"ARA Werdhölzli","2021/22","IAV_gc_per_mL_WW",32.4748390508579
2022-04-11,"ARA Werdhölzli","2021/22","IBV_gc_per_day",0
2022-04-11,"ARA Werdhölzli","2021/22","IBV_gc_per_mL_WW",0
2022-04-11,"STEP Aire","2021/22","IAV_gc_per_day",1392748629052.53
2022-04-11,"STEP Aire","2021/22","IAV_gc_per_mL_WW",9.8231695776088
2022-04-11,"STEP Aire","2021/22","IBV_gc_per_day",0
2022-04-11,"STEP Aire","2021/22","IBV_gc_per_mL_WW",0
2022-04-15,"ARA Werdhölzli","2021/22","IAV_gc_per_day",2421863233643.84
2022-04-15,"ARA Werdhölzli","2021/22","IAV_gc_per_mL_WW",17.0651092076737
2022-04-15,"ARA Werdhölzli","2021/22","IBV_gc_per_day",0
2022-04-15,"ARA Werdhölzli","2021/22","IBV_gc_per_mL_WW",0
2022-04-15,"STEP Aire","2021/22","IAV_gc_per_day",1846561837137.8
2022-04-15,"STEP Aire","2021/22","IAV_gc_per_mL_WW",16.5015981585477
2022-04-15,"STEP Aire","2021/22","IBV_gc_per_day",0
2022-04-15,"STEP Aire","2021/22","IBV_gc_per_mL_WW",0
2022-04-18,"ARA Werdhölzli","2021/22","IAV_gc_per_day",3166359862759.25
2022-04-18,"ARA Werdhölzli","2021/22","IAV_gc_per_mL_WW",23.3807382833374
2022-04-18,"ARA Werdhölzli","2021/22","IBV_gc_per_day",0
2022-04-18,"ARA Werdhölzli","2021/22","IBV_gc_per_mL_WW",0
2022-04-18,"STEP Aire","2021/22","IAV_gc_per_day",1773281447320.21
2022-04-18,"STEP Aire","2021/22","IAV_gc_per_mL_WW",17.0642376423739
2022-04-18,"STEP Aire","2021/22","IBV_gc_per_day",110771770703.43
2022-04-18,"STEP Aire","2021/22","IBV_gc_per_mL_WW",1.06595364329019
2022-04-22,"ARA Werdhölzli","2021/22","IAV_gc_per_day",3062851029181.77
2022-04-22,"ARA Werdhölzli","2021/22","IAV_gc_per_mL_WW",21.3156867505168
2022-04-22,"ARA Werdhölzli","2021/22","IBV_gc_per_day",0
2022-04-22,"ARA Werdhölzli","2021/22","IBV_gc_per_mL_WW",0
2022-04-22,"STEP Aire","2021/22","IAV_gc_per_day",1523733127525.26
2022-04-22,"STEP Aire","2021/22","IAV_gc_per_mL_WW",13.2008379973945
2022-04-22,"STEP Aire","2021/22","IBV_gc_per_day",0
2022-04-22,"STEP Aire","2021/22","IBV_gc_per_mL_WW",0
2022-04-25,"ARA Werdhölzli","2021/22","IAV_gc_per_day",4761562011479.86
2022-04-25,"ARA Werdhölzli","2021/22","IAV_gc_per_mL_WW",14.6379435255415
2022-04-25,"ARA Werdhölzli","2021/22","IBV_gc_per_day",0
2022-04-25,"ARA Werdhölzli","2021/22","IBV_gc_per_mL_WW",0
2022-04-25,"STEP Aire","2021/22","IAV_gc_per_day",549577182396.699
2022-04-25,"STEP Aire","2021/22","IAV_gc_per_mL_WW",4.28630511084099
2022-04-25,"STEP Aire","2021/22","IBV_gc_per_day",134730449272.815
2022-04-25,"STEP Aire","2021/22","IBV_gc_per_mL_WW",1.05080020022941
2022-04-28,"STEP Aire","2021/22","IAV_gc_per_day",1161810693752.21
2022-04-28,"STEP Aire","2021/22","IAV_gc_per_mL_WW",10.1394682784725
2022-04-29,"STEP Aire","2021/22","IAV_gc_per_day",1031542987896.7
2022-04-29,"STEP Aire","2021/22","IAV_gc_per_mL_WW",9.2214851013892
