"date","observed_incidence","CI_down_observed_incidence","CI_up_observed_incidence","smoothed_incidence","CI_down_smoothed_incidence","CI_up_smoothed_incidence","deconvolved_incidence","CI_down_deconvolved_incidence","CI_up_deconvolved_incidence","Re_estimate","CI_down_Re_estimate","CI_up_Re_estimate","Re_highHPD","Re_lowHPD","bootstrapped_CI_down_Re_estimate","bootstrapped_CI_up_Re_estimate","observation_type","influenza_type"
2021-12-08,0,0,0,0.00198662928386619,0.00198662928386619,0.00198662928386619,0.00432958841194046,0.00423693605932993,0.00442224076455098,NA,NA,NA,NA,NA,NA,NA,"BASEL","A"
2021-12-09,0,0,0,0.00153825388960984,0.00153825388960984,0.00153825388960984,0.0112403230733763,0.0106944341979187,0.0117862119488338,NA,NA,NA,NA,NA,NA,NA,"BASEL","A"
2021-12-10,0,0,0,0.00206449234003385,0.00206449234003385,0.00206449234003385,0.021880847727831,0.0203496026718728,0.0234120927837892,NA,NA,NA,NA,NA,NA,NA,"BASEL","A"
2021-12-11,0,0,0,0.00496561050409531,0.0048018696933232,0.00512935131486742,0.0347766182367725,0.0316901134149629,0.037863123058582,NA,NA,NA,NA,NA,NA,NA,"BASEL","A"
2021-12-12,0,0,0,0.0111497087484611,0.0104414001688934,0.0118580173280287,0.0501791057282623,0.0419623728889619,0.0583958385675626,NA,NA,NA,NA,NA,NA,NA,"BASEL","A"
2021-12-13,0,0,0,0.0199888233105958,0.0182751019994904,0.0217025446217012,0.0694862789595739,0.049707552049393,0.0892650058697547,NA,NA,NA,NA,NA,NA,NA,"BASEL","A"
2021-12-14,0,0,0,0.0308549904279642,0.0275949934178599,0.0341149874380685,0.0929301961105685,0.0563890133151016,0.129471378906035,NA,NA,NA,NA,NA,NA,NA,"BASEL","A"
2021-12-15,0,0,0,0.0443686732758802,0.0361706739635895,0.0525666725881708,0.120338572411777,0.0651031604728667,0.175573984350688,NA,NA,NA,NA,NA,NA,NA,"BASEL","A"
2021-12-16,0,0,0,0.0615857516950651,0.0433386375734778,0.0798328658166523,0.146549577782053,0.0787392085475993,0.214359947016507,NA,NA,NA,NA,NA,NA,NA,"BASEL","A"
2021-12-17,0.0408037842578367,0.0408037842578367,0.0408037842578367,0.0825313869210946,0.0507411057808862,0.114321668061303,0.169448208734394,0.0952786273633017,0.243617790105486,NA,NA,NA,NA,NA,NA,NA,"BASEL","A"
2021-12-18,0.0816075685156735,0.0816075685156735,0.0816075685156735,0.107230740189544,0.0600199637629793,0.15444151661611,0.193712533594636,0.109165534858225,0.278259532331046,NA,NA,NA,NA,NA,NA,NA,"BASEL","A"
2021-12-19,0.12241135277351,0.12241135277351,0.12241135277351,0.131567352272487,0.0732292106720751,0.189905493872899,0.222164250262916,0.123304004958295,0.321024495567537,NA,NA,NA,NA,NA,NA,NA,"BASEL","A"
2021-12-20,0.163215137031347,0.163215137031347,0.163215137031347,0.153977576474543,0.0883648987685936,0.219590254180493,0.254017136510181,0.143784123494589,0.364250149525774,NA,NA,NA,NA,NA,NA,NA,"BASEL","A"
2021-12-21,0.204018921289184,0.204018921289184,0.204018921289184,0.178315792830112,0.101843225506968,0.254788360153257,0.288741109079196,0.170957676249608,0.406524541908784,NA,NA,NA,NA,NA,NA,NA,"BASEL","A"
2021-12-22,0.24482270554702,0,0.522003470416956,0.206539369611645,0.117335783582201,0.29574295564109,0.326618001436407,0.20189546831441,0.451340534558404,NA,NA,NA,NA,NA,NA,NA,"BASEL","A"
2021-12-23,0.285626489804857,0.00844572493492168,0.562807254674793,0.237878105179272,0.138876029068822,0.336880181289722,0.396767383133458,0.269102963837156,0.52443180242976,NA,NA,NA,NA,NA,NA,NA,"BASEL","A"
2021-12-24,0.285637240202327,0.00845647533239108,0.562818005072262,0.272095024698912,0.165135976854474,0.37905407254335,0.513554783134548,0.391604728868823,0.635504837400273,NA,NA,NA,NA,NA,NA,NA,"BASEL","A"
2021-12-25,0.285647990599796,0.285647990599796,0.285647990599796,0.308953153336484,0.194494045383241,0.423412261289726,0.652586029168421,0.539689887112867,0.765482171223976,NA,NA,NA,NA,NA,NA,NA,"BASEL","A"
2021-12-26,0.285658740997265,0.285658740997265,0.285658740997265,0.374221655812611,0.255748585928578,0.492694725696643,0.811518216453499,0.702533897270719,0.920502535636279,NA,NA,NA,NA,NA,NA,NA,"BASEL","A"
2021-12-27,0.285669491394735,0,0.673641743077994,0.479159181320734,0.363402137308569,0.5949162253329,1.00815627795904,0.893552012745852,1.12276054317223,NA,NA,NA,NA,NA,NA,NA,"BASEL","A"
2021-12-28,0.285680241792204,0,1.22355852431087,0.601762981736002,0.491794733585493,0.711731229886511,1.24498617618082,1.11473672991564,1.375235622446,NA,NA,NA,NA,NA,NA,NA,"BASEL","A"
2021-12-29,0.285690992189673,0.008510227319738,0.562871757059609,0.743552990251809,0.636249267496142,0.850856713007476,1.52067601077796,1.36551667745834,1.67583534409757,NA,NA,NA,NA,NA,NA,NA,"BASEL","A"
2021-12-30,0.285701742587143,0.00852097771720739,0.562882507457078,0.92093593981944,0.809938331134011,1.03193354850487,1.77358321004894,1.58954773253519,1.95761868756269,NA,NA,NA,NA,NA,NA,NA,"BASEL","A"
