"date","observed_incidence","CI_down_observed_incidence","CI_up_observed_incidence","smoothed_incidence","CI_down_smoothed_incidence","CI_up_smoothed_incidence","deconvolved_incidence","CI_down_deconvolved_incidence","CI_up_deconvolved_incidence","Re_estimate","CI_down_Re_estimate","CI_up_Re_estimate","Re_highHPD","Re_lowHPD","bootstrapped_CI_down_Re_estimate","bootstrapped_CI_up_Re_estimate","observation_type","pathogen","measuring_period"
2027-07-02,0.000228183802549026,0,0.388200435485808,0.000112523722520739,0,0.233140814870938,5.9332992844226e-05,0,0.243712689391691,0.997010326278333,2.04393778969585e-39,11.415618837394,11.415618837394,2.04393778969585e-39,0.595831305014371,1.39818934754229,4,"RSV","2022/23"
2027-07-09,0.000251002182803929,0,0.277431767052739,9.38210548767747e-05,0,0.234777548518804,5.55568497634473e-05,0,0.246347254442067,0.997653159644505,1.93892576296153e-39,11.4229040009727,11.4229040009727,1.93892576296153e-39,0.63861199407728,1.35669432521173,4,"RSV","2022/23"
2027-07-16,0.000228183802549026,0,0.277408948672484,7.80181506419185e-05,0,0.237714593594521,5.21396349131423e-05,0,0.250559788800538,0.998284302898327,1.87856505269555e-39,11.4300840032843,11.4300840032843,1.87856505269555e-39,0.665506665680597,1.33106194011606,4,"RSV","2022/23"
2027-07-23,0.00017113785191177,0,0.388143389535171,6.88930851984319e-05,0,0.23946032466671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"RSV","2022/23"
2027-07-30,9.12735210196105e-05,0,0.277272038390955,6.3382988985063e-05,0,0.241635844067377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"RSV","2022/23"
2027-08-06,1.35525271560688e-19,0,0.387972251683259,5.84249924405599e-05,0,0.245094889392633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"RSV","2022/23"
2021-08-06,NA,NA,NA,NA,NA,NA,8.25324322361669e-12,0,0.583276512744044,NA,NA,NA,NA,NA,NA,NA,4,"IVA","2021/22"
2021-08-13,NA,NA,NA,NA,NA,NA,1.57512592412419e-11,0,0.411607361037995,NA,NA,NA,NA,NA,NA,NA,4,"IVA","2021/22"
2021-08-20,NA,NA,NA,NA,NA,NA,4.26721354660347e-11,0,0.301923749876316,NA,NA,NA,NA,NA,NA,NA,4,"IVA","2021/22"
2021-08-27,0,0,0.470191317430348,9.8052288676253e-12,0,0.628318620872496,1.01280659669231e-10,0,0.231068508013721,NA,NA,NA,NA,NA,NA,NA,4,"IVA","2021/22"
2021-09-03,0,0,0.470191317430348,1.76304393077651e-11,0,0.464083545657859,1.7718393375199e-10,0,0.200084077575225,NA,NA,NA,NA,NA,NA,NA,4,"IVA","2021/22"
2021-09-10,0,0,0.277180764869935,4.34623665678657e-11,0,0.36012781857568,2.51909145795973e-10,0,0.190258926862165,NA,NA,NA,NA,NA,NA,NA,4,"IVA","2021/22"
2021-09-17,0,0,0.277180764869935,9.34809749190883e-11,0,0.280370525157114,3.28089620883874e-10,0,0.182467874609059,NA,NA,NA,NA,NA,NA,NA,4,"IVA","2021/22"
2021-09-24,0,0,0.277180764869935,1.54452352324979e-10,0,0.230239040374696,4.16299140046867e-10,0,0.179434838019346,NA,NA,NA,NA,NA,NA,NA,4,"IVA","2021/22"
2021-10-01,0,0,0.387972251683259,2.16652595450784e-10,0,0.201792767111532,4.72936998152258e-10,0,0.182453446821887,NA,NA,NA,NA,NA,NA,NA,4,"IVA","2021/22"
2021-10-08,0,0,0.387972251683259,2.84367216331373e-10,0,0.18286475307892,4.7783518736768e-10,0,0.184022763202875,NA,NA,NA,NA,NA,NA,NA,4,"IVA","2021/22"
