"","date","observed_incidence","CI_down_observed_incidence","CI_up_observed_incidence","smoothed_incidence","CI_down_smoothed_incidence","CI_up_smoothed_incidence","deconvolved_incidence","CI_down_deconvolved_incidence","CI_up_deconvolved_incidence","Re_estimate","CI_down_Re_estimate","CI_up_Re_estimate","Re_highHPD","Re_lowHPD","bootstrapped_CI_down_Re_estimate","bootstrapped_CI_up_Re_estimate","observation_type","influenza_type"
"51",2021-09-27,0,0,22.6792721421496,0,0,7.09039409612547,0,0,13.8155845586017,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV"
"52",2021-09-28,0,0,39.3455042689802,0,0,7.07063461014626,0,0,18.6920921563206,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV"
"53",2021-09-29,0,0,7.09443093299047,0,0,7.1605894056071,0,0,18.0987270521754,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV"
"54",2021-09-30,0,0,12.54683157104,0,0,7.24359771920322,0,0,9.81906810266012,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV"
"55",2021-10-01,0,0,7.89774117399665,0,0,7.25378215619718,0,0,8.14102366089552,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV"
"56",2021-10-02,0,0,5.00384570096308,0,0,7.19762057830997,0,0,13.9666882345278,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV"
"57",2021-10-03,0,0,3.08655436940959,0,0,7.08822499710449,0,0,22.5083166811332,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV"
"58",2021-10-04,0,0,22.6618087097634,0,0,7.18268529076646,0,0,31.404064920201,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV"
"59",2021-10-05,0,0,39.3244575173199,0,0,7.66878927593086,0,0,27.2032736063447,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV"
"60",2021-10-06,0,0,7.1037073012997,0,0,8.53634660243979,0,0,13.1524041072473,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV"
"61",2021-10-07,0,0,12.3546599443742,0,0,9.39246254731687,0,0,11.8321706586489,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV"
"62",2021-10-08,0,0,11.8995507484752,0,0,9.962908718953,0,0,11.1878039370924,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV"
"63",2021-10-09,0,0,7.13014471050406,0,0,10.4885109688399,0,0,7.33769172928859,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV"
"64",2021-10-10,0,0,3.32333959972338,0,0,10.6129851428317,0,0,5.41216605286821,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV"
"65",2021-10-11,0,0,27.341149918261,0,0,10.3225024559108,0,0,4.40316604605532,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV"
"66",2021-10-12,0,0,66.7072684275215,0,0,10.2514988210237,0,0,5.40334057142378,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV"
"67",2021-10-13,0,0,5.37546370497456,0,0,9.96875613092175,0,0,7.39567369383124,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV"
"68",2021-10-14,0,0,15.1654890936922,0,0,9.06382002508869,0,0,8.39805241285548,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV"
"69",2021-10-15,0,0,16.2005032743338,0,0,8.30054379704116,0,0,6.675819997892,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV"
"70",2021-10-16,0,0,7.39059135679568,0,0,7.38124029500412,0,0,5.58988399536279,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV"
"71",2021-10-17,0,0,4.6082764172462,0,0,5.88071086655355,0,0,5.3140906346543,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV"
"72",2021-10-18,0,0,3.28919479401499,0,0,4.74299196639751,0,0,4.49447712792736,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV"
"73",2021-10-19,0,0,1.37397329684947,0,0,4.06217509801262,0,0,4.14603720933007,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV"
"74",2021-10-20,0,0,5.50686603162111,0,0,3.74560886823615,0,0,6.68139098909349,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV"
"75",2021-10-21,0,0,14.5931319949712,0,0,3.5959827256339,4.39171632004507e-32,0,10.4291768437091,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV"
"76",2021-10-22,0,0,13.9112647783124,0,0,3.52170881655049,1.08343925175209e-26,0,8.75596038946419,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV"
"77",2021-10-23,0,0,5.82012260065398,0,0,3.51738930747176,3.25376777485143e-21,0,5.82981486756114,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV"
"78",2021-10-24,0,0,4.76090064845625,0,0,3.64422051668847,2.35248328682684e-16,0,6.7205242440167,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV"
"79",2021-10-25,0,0,5.55788023849994,0,0,3.74729002400075,4.64215654160528e-12,0,9.61132073258212,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV"
"80",2021-10-26,0,0,3.01277586512317,0,0,3.74185110784911,2.50930249644575e-08,0,14.3945003825663,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV"
"81",2021-10-27,0,0,7.08658072375463,0,0,3.78829592174497,3.15630889121487e-05,0,12.1627271492851,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV"
"82",2021-10-28,0,0,16.5883660121111,0,0,4.03416861135892,0.00465396647872766,0,9.35366959242568,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV"
"83",2021-10-29,0,0,11.5036662206869,0.000686919260348313,0,4.2098327005818,0.0264601655173614,0,11.620031455462,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV"
"84",2021-10-30,0,0,3.80710642376008,0.00199790119975638,0,4.44057637999102,0.178702345616255,0,17.6350907832497,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV"
"85",2021-10-31,0,0,3.78231493093054,0.0122524369598321,0,4.92121805955727,0.438131284613898,0,31.0430394202389,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV"
"86",2021-11-01,0,0,17.9844773359748,0.0351438959923118,0,5.60919166371965,0.469178515291019,0,40.6198118250099,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV"
"87",2021-11-02,0,0,40.9965441369449,0.0626084319999324,0,6.78448903139161,0.398175451578987,0,35.2845950066443,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV"
"88",2021-11-03,0,0,7.47968929238966,0.0874098695982329,0,8.28121440319238,0.305280264726493,0,20.3000565369031,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV"
"89",2021-11-04,0,0,13.2735871875519,0.115942631582338,0,10.0752522124013,0.220225619156432,0,10.0366499014339,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV"
"90",2021-11-05,0,0,13.7249468111978,0.14051450278749,0,11.6637054078084,0.173066101339815,0,10.9238201399711,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV"
"91",2021-11-06,0,0,8.06229614507531,0.15052292350364,0,12.381309033049,0.179171010723347,0,16.7059332032872,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV"
"92",2021-11-07,0,0,2.37583512745659,0.153984427884963,0,12.6156486609415,0.264876398361938,0,24.4454273042446,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV"
"93",2021-11-08,1.1602787456446,0,36.0603766835559,0.158915550085631,0,12.8419275754857,0.482887651411268,0,37.0753864338589,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV"
"94",2021-11-09,0.5801393728223,0,87.292841730642,0.1854959193282,0,13.4013425766981,0.724823177674036,0,44.0846024451518,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV"
"95",2021-11-10,0,0,6.38105755788035,0.231888738811343,0,14.082067540606,0.868481482213426,0,29.6581339505966,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV"
"96",2021-11-11,0,0,14.4828539751029,0.273085903653413,0,14.6236984155663,1.06464803300247,0,19.3958476210214,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV"
"97",2021-11-12,0,0,13.8103612745612,0.331188803399451,0,14.9123881538769,1.2373215247698,0,19.1552142197424,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV"
"98",2021-11-13,0,0,9.18528232005274,0.407252717464314,0,14.9772545950523,1.32034153756755,0,16.1921039495746,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV"
"99",2021-11-14,0,0,9.14593668282306,0.463736746609484,0,14.962133497016,1.44822143662865,0,19.5966187108874,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV"
"100",2021-11-15,0,0,38.8648391194189,0.518983474288898,0,14.4058404871023,1.33921623359601,0,22.3748016138745,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV"
"101",2021-11-16,0.628919860627178,0,100.516675255095,0.60024085446431,0,13.8964196993347,0.772862349826569,0,22.8148063911146,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV"
"102",2021-11-17,1.25783972125436,0,9.45255777698151,0.652066006382048,0,14.1562193348051,0.283980842682808,0,22.3074317720951,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV"
"103",2021-11-18,1.19512195121951,0,24.5228777889395,0.683260036680512,0,14.0594174102264,0.0617765950874649,0,18.4286637282472,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV"
"104",2021-11-19,1.13240418118467,0,23.729081864672,0.724495894949971,0,13.554243505602,0.00733834651250475,0,13.9302528681544,0.1471881915883,0,3.53547967689732,0.825143559537031,2.324047305176e-05,0,3.53547967689732,"ARA Basel","IAV"
"105",2021-11-20,1.17015098722416,0,12.2560380224177,0.724078088659438,0,13.2235706668306,0.00278872938152269,0,11.2624096228686,0.0630178914336404,0,1.89389132239501,0.594250248189434,1.66518097748096e-15,0,1.89389132239501,"ARA Basel","IAV"
"106",2021-11-21,1.20789779326365,0,9.94095482393582,0.682067889676879,0,12.4973681499302,0.00109396617409963,0,13.0307035411421,0.0488832276382815,0,2.1501321711638,0.55319355821254,2.94784357419312e-32,0,2.1501321711638,"ARA Basel","IAV"
"107",2021-11-22,1.24564459930314,0,26.4944125478513,0.641563195015016,0,11.6566689325046,0.00040719011389604,0,15.9836251075332,0.0763405559686557,0,4.7187261197541,0.872923236845107,6.74709297857029e-37,0,4.7187261197541,"ARA Basel","IAV"
"108",2021-11-23,0.622822299651568,0,58.4462138274711,0.574087989409957,0,11.2155082289197,0.000630516223983229,0,17.4980525479758,0.131912635894044,0,8.30063997185267,1.51029805756023,1.71660452462799e-38,0,8.30063997185267,"ARA Basel","IAV"
"109",2021-11-24,0,0,7.43216267023468,0.466341586406414,0,11.1887302592918,0.00201825342001407,0,21.4762559434205,0.235381152838069,0,6.59078664496617,2.69384400346545,1.96488272502961e-37,0,6.59078664496617,"ARA Basel","IAV"
"110",2021-11-25,0,0,16.1295021219981,0.373058782090111,0,11.2744516220008,0.0153007990690805,0,24.4260248176145,0.511972193347342,0,6.39598980279469,5.70283092870108,1.17459777553685e-27,0,6.39598980279469,"ARA Basel","IAV"
"111",2021-11-26,0,0,17.6981999217405,0.288993203725618,0,11.3091345488624,0.243594661671266,0,22.9728137762003,3.68524792069688,0,23.3114087904908,23.3114087904908,4.05224033608836e-05,0,11.3139212923376,"ARA Basel","IAV"
"112",2021-11-27,0,0,7.68441785789657,0.208898478577505,0,11.2560604999541,4.06848893043407,0,46.2104121581091,34.6424446954702,10.1514444112044,73.8911374332878,73.8911374332878,10.1514444112044,27.0998774828618,42.1850119080786,"ARA Basel","IAV"
