"region","data_type","date","median_R_mean","median_R_highHPD","median_R_lowHPD"
"FR","infection_norm_n1",2021-07-17,1.43296105944392,2.34158431390857,0.745331264952511
"FR","infection_norm_n1",2021-07-18,1.57239821404455,2.49211676738822,0.862389929639907
"FR","infection_norm_n1",2021-07-19,1.70291507062241,2.61845635152974,0.982343372288417
"FR","infection_norm_n1",2021-07-20,1.80759960244489,2.70043703127594,1.09210540260438
"FR","infection_norm_n1",2021-07-21,1.89306711511619,2.74956354263769,1.19471268117743
"FR","infection_norm_n1",2021-07-22,1.96389405984541,2.77550134804964,1.29112600680032
"FR","infection_norm_n1",2021-07-23,2.00404425901767,2.76284665112154,1.36570955389865
"FR","infection_norm_n1",2021-07-24,1.99037741421798,2.68790484530412,1.39644526333671
"FR","infection_norm_n1",2021-07-25,1.92011958124164,2.55113910310641,1.37772423382172
"FR","infection_norm_n1",2021-07-26,1.81958841646196,2.38605847832809,1.32899418685364
"FR","infection_norm_n1",2021-07-27,1.71521320251843,2.22456721797151,1.27130714440328
"FR","infection_norm_n1",2021-07-28,1.61915525818691,2.08046260348485,1.21498844606247
"FR","infection_norm_n1",2021-07-29,1.53346520971013,1.95499559277175,1.16251435644295
"FR","infection_norm_n1",2021-07-30,1.48837224255809,1.88085855429693,1.14126793863227
"FR","infection_norm_n1",2021-07-31,1.48889831356417,1.86200814758443,1.15700436286266
"FR","infection_norm_n1",2021-08-01,1.51323802608891,1.87214841296242,1.19205936566509
"FR","infection_norm_n1",2021-08-02,1.53396239994413,1.87916116205379,1.22336906950627
"FR","infection_norm_n1",2021-08-03,1.54241431124338,1.87271137539419,1.24376910902918
"FR","infection_norm_n1",2021-08-04,1.53365125143351,1.84745247854805,1.2486976426627
"FR","infection_norm_n1",2021-08-05,1.50975882862678,1.80620020388536,1.23956033893604
"FR","infection_norm_n1",2021-08-06,1.48619870066381,1.76635650328822,1.22993090280823
"FR","infection_norm_n1",2021-08-07,1.47324047205961,1.73931976828117,1.21688143749491
"FR","infection_norm_n1",2021-08-08,1.46598158271742,1.74048875712852,1.19147440830633
